simulation,first5_net_pnl,second5_net_pnl,P&L Bin,First Five Years,Second Five Years
1,8824.0975,9969.79,-30000,0,2
2,-2860.8,-19250.36,-20000,539,429
3,756.99,9227.87,-10000,3122,2435
4,-10.3,11276.64,0,3111,2941
5,-8700.32,-830.3,10000,1833,2060
6,11004.15,35079.35313,20000,840,1175
7,-9789.88,21311.72,30000,370,586
8,17447.36875,-6758.3,40000,118,220
9,8662.8,-2645.64,50000,43,99
10,-206.24,6137.94,60000,16,33
11,2722.19,10940.025,70000,5,12
12,-2907.06,-13537.52,80000,3,4
13,24630.24375,-1281.3,90000,0,4
14,4042.645,-530.53,100000,0,0
15,-2802.52,28984.225,110000,0,0
16,-9352.08,2272.83,,,
17,11338.98,7219.97,,,
18,-2577.13,-5349.95,,,
19,-13744.44,4045.15,,,
20,-7479.82,20295.2475,,,
21,-5581.56,12191.75,,,
22,-9560.66,-7810.52,,,
23,-4473.72,-16451.04,,,
24,-7858.48,8750.915,,,
25,28020.61125,-13655.08,,,
26,-9503.84,3041.34,,,
27,4010.7825,5998.78,,,
28,-5458.45,562.39,,,
29,32519.285,-1215.42,,,
30,5584.13,-10656.12,,,
31,6857.93,-8875.86,,,
32,5384.07,19554.91,,,
33,-6840.03,10851.14,,,
34,12354.78,-2156.98,,,
35,25383.71,3472.465,,,
36,1759.66,1381.04,,,
37,-9998.52,-621.455,,,
38,8014.4,-8670.46,,,
39,-2693.58,-9598.18,,,
40,-20.61,7464.21,,,
41,-9581.36,7279.95,,,
42,10853.215,31406.45375,,,
43,-4719.83,4146.92,,,
44,-5907.53,11327.275,,,
45,4544.06,12527.28,,,
46,-96.72,-12467.92,,,
47,7976.09,3631.13,,,
48,-2515.55,-2110.84,,,
49,-10170.08,-6574.86,,,
50,-11568.44,24982.9975,,,
51,-12665.28,-5838.7,,,
52,-9104.02,36508.06906,,,
53,16880.13625,-12691.24,,,
54,7245.78,-237.02,,,
55,-4002.9,-13790.56,,,
56,21164.7075,24661.77625,,,
57,-3665.74,-9055.26,,,
58,-8488.88,24794.52,,,
59,-2106.375,23939.615,,,
60,1405.42,12882.77,,,
61,2983.44,29597.92,,,
62,-7748.1,20849.6,,,
63,-8767.92,-7560.66,,,
64,-16548.68,22088.3725,,,
65,9502.63,-11021.32,,,
66,-14299.92,2296.92,,,
67,27354.16375,38942.85656,,,
68,-16285.48,-8506.26,,,
69,4759.37,24783.38,,,
70,6707.82,14040.525,,,
71,-11685.66,10482.54,,,
72,5438.64,15037.8475,,,
73,10390.41,9833.54,,,
74,3526.83,13200.28,,,
75,-11321.56,22077.095,,,
76,-4536.72,-12896.64,,,
77,-4376.68,35128.90125,,,
78,-5977.1,5375.6,,,
79,5889.42,-1660.79,,,
80,-12022.82,-2037.2,,,
81,385.52,-5087.745,,,
82,-8987.52,-4633.3,,,
83,-4518.72,1264.57,,,
84,-7618.04,-9630.26,,,
85,-2335.21,19393.02,,,
86,15690.435,-11405.76,,,
87,-15398.4,17839.345,,,
88,15675.2975,-13449.68,,,
89,-4350.27,-10831.44,,,
90,9690.32,-3046.82,,,
91,14172.97,-20026.36,,,
92,6814.005,26404.37,,,
93,-5931.08,12381.7675,,,
94,-10990.4,1290.25,,,
95,9017.8575,-8862.02,,,
96,921.78,10495.47,,,
97,-6724.64,-9969.28,,,
98,25495.41,-3709.66,,,
99,-11244.52,29471.31281,,,
100,1486.865,6188.39,,,
101,-9985.66,12275.55,,,
102,4780.87,-15820.28,,,
103,1593.52,25528.40125,,,
104,-19125,-14252.04,,,
105,12273.14,-817.6,,,
106,-10607.16,-1550.36,,,
107,-1423.14,-12369.96,,,
108,15505.26,73.42,,,
109,-12644,-6642.92,,,
110,5041.26,4361.17,,,
111,-3236.29,17259.945,,,
112,6378.34,52502.2375,,,
113,1584.84,2759.4,,,
114,17927.7725,31207.315,,,
115,7290.815,-11703.58,,,
116,-3983.89,21914.345,,,
117,-18747.64,7738.62,,,
118,257.8,-5122.32,,,
119,14112.3425,5507.9,,,
120,7204.39,21989.805,,,
121,-6029.14,2144.29,,,
122,-428.14,1420.7,,,
123,-10594.72,-6266.65,,,
124,-11459.28,-6060.795,,,
125,5805.715,534.4,,,
126,-17428.72,14204.14,,,
127,-11621.64,2315.16,,,
128,14226.51,3934.5125,,,
129,-12568.56,5870.105,,,
130,-8204.49,30364.0525,,,
131,19713.145,8095.335,,,
132,-17488.24,-16933.8,,,
133,-5797.73,1854.27,,,
134,-9732.78,-4431.94,,,
135,14719.99,-7417.1,,,
136,12612.08,-6776.54,,,
137,-13041.96,5668.475,,,
138,-6087.82,-6620.64,,,
139,33490.25469,22676.6,,,
140,-6313.84,17758.7875,,,
141,16821.98,-3650.45,,,
142,16285.55,-11445.96,,,
143,-9080.28,-7261.52,,,
144,-11146.96,-10575.86,,,
145,-5786.14,-14387.52,,,
146,6367.74,-11442.24,,,
147,2826.6,-14449.36,,,
148,49.05,-3669.19,,,
149,18435.67375,-7668.96,,,
150,-4212.88,-7476.54,,,
151,827.16,6089.57,,,
152,-12945.32,-5868.78,,,
153,-999.26,29835.765,,,
154,31994.70875,-4337.2,,,
155,-9626.54,-6710.66,,,
156,10322.91,17338.125,,,
157,-6863.08,24593.7475,,,
158,895.75,-15058.12,,,
159,-13140.38,-445.14,,,
160,12460.855,-4744.96,,,
161,2993.36,2454.68,,,
162,-9247.68,56712.94688,,,
163,17608.865,11925.19,,,
164,21401.465,8820.29,,,
165,-11268.16,-3120.82,,,
166,-11007.62,-4397.09,,,
167,16638.47,17068.5675,,,
168,8375.47,6513.48,,,
169,23307.06,8841.25,,,
170,-3139.04,28870.205,,,
171,11008.23,45036.16781,,,
172,-16893.36,-11372.32,,,
173,566.49,14225.325,,,
174,2434.75,39989.66562,,,
175,33450.3925,10702.64,,,
