date,entry_time,entry,long_pnl,short_pnl,long_result,short_result,long_exit_price,short_exit_price,long_exit_time,short_exit_time
2016-08-08,2016-08-08 10:00:00,4780.0,-16.0,16.0,TIME_EXIT,TIME_EXIT,4779.0,4779.0,2016-08-08 16:00:00,2016-08-08 16:00:00
2016-08-09,2016-08-09 10:00:00,4795.0,-44.0,44.0,TIME_EXIT,TIME_EXIT,4792.25,4792.25,2016-08-09 16:00:00,2016-08-09 16:00:00
2016-08-10,2016-08-10 10:00:00,4784.75,-84.0,84.0,TIME_EXIT,TIME_EXIT,4779.5,4779.5,2016-08-10 16:00:00,2016-08-10 16:00:00
2016-08-11,2016-08-11 10:00:00,4800.0,20.0,-20.0,TIME_EXIT,TIME_EXIT,4801.25,4801.25,2016-08-11 16:00:00,2016-08-11 16:00:00
2016-08-12,2016-08-12 10:00:00,4793.5,184.0,-184.0,TIME_EXIT,TIME_EXIT,4805.0,4805.0,2016-08-12 16:00:00,2016-08-12 16:00:00
2016-08-15,2016-08-15 10:00:00,4821.5,32.0,-32.0,TIME_EXIT,TIME_EXIT,4823.5,4823.5,2016-08-15 16:00:00,2016-08-15 16:00:00
2016-08-16,2016-08-16 10:00:00,4805.75,-112.0,112.0,TIME_EXIT,TIME_EXIT,4798.75,4798.75,2016-08-16 16:00:00,2016-08-16 16:00:00
2016-08-17,2016-08-17 10:00:00,4784.75,344.0,-344.0,TIME_EXIT,TIME_EXIT,4806.25,4806.25,2016-08-17 16:00:00,2016-08-17 16:00:00
2016-08-18,2016-08-18 10:00:00,4805.0,40.0,-40.0,TIME_EXIT,TIME_EXIT,4807.5,4807.5,2016-08-18 16:00:00,2016-08-18 16:00:00
2016-08-19,2016-08-19 10:00:00,4791.25,400.0,-400.0,WIN,LOSS,4816.25,4816.25,2016-08-19 10:43:00,2016-08-19 10:43:00
2016-08-22,2016-08-22 10:00:00,4800.5,136.0,-136.0,TIME_EXIT,TIME_EXIT,4809.0,4809.0,2016-08-22 16:00:00,2016-08-22 16:00:00
2016-08-23,2016-08-23 10:00:00,4834.5,-252.0,252.0,TIME_EXIT,TIME_EXIT,4818.75,4818.75,2016-08-23 16:00:00,2016-08-23 16:00:00
2016-08-24,2016-08-24 10:00:00,4817.0,-400.0,400.0,LOSS,WIN,4792.0,4792.0,2016-08-24 14:22:00,2016-08-24 14:22:00
2016-08-25,2016-08-25 10:00:00,4776.25,68.0,-68.0,TIME_EXIT,TIME_EXIT,4780.5,4780.5,2016-08-25 16:00:00,2016-08-25 16:00:00
2016-08-26,2016-08-26 10:00:00,4789.0,400.0,-400.0,WIN,LOSS,4814.0,4814.0,2016-08-26 10:17:00,2016-08-26 10:17:00
2016-08-29,2016-08-29 10:00:00,4795.5,-56.0,56.0,TIME_EXIT,TIME_EXIT,4792.0,4792.0,2016-08-29 16:00:00,2016-08-29 16:00:00
2016-08-30,2016-08-30 10:00:00,4793.75,-400.0,400.0,LOSS,WIN,4768.75,4768.75,2016-08-30 10:34:00,2016-08-30 10:34:00
2016-08-31,2016-08-31 10:00:00,4774.0,-8.0,8.0,TIME_EXIT,TIME_EXIT,4773.5,4773.5,2016-08-31 16:00:00,2016-08-31 16:00:00
2016-09-01,2016-09-01 10:00:00,4776.75,-400.0,400.0,LOSS,WIN,4751.75,4751.75,2016-09-01 10:31:00,2016-09-01 10:31:00
2016-09-02,2016-09-02 10:00:00,4813.75,-400.0,400.0,LOSS,WIN,4788.75,4788.75,2016-09-02 12:20:00,2016-09-02 12:20:00
2016-09-06,2016-09-06 10:00:00,4812.5,256.0,-256.0,TIME_EXIT,TIME_EXIT,4828.5,4828.5,2016-09-06 16:00:00,2016-09-06 16:00:00
2016-09-07,2016-09-07 10:00:00,4832.5,-44.0,44.0,TIME_EXIT,TIME_EXIT,4829.75,4829.75,2016-09-07 16:00:00,2016-09-07 16:00:00
2016-09-08,2016-09-08 10:00:00,4802.25,16.0,-16.0,TIME_EXIT,TIME_EXIT,4803.25,4803.25,2016-09-08 16:00:00,2016-09-08 16:00:00
2016-09-09,2016-09-09 10:00:00,4760.5,-400.0,400.0,LOSS,WIN,4735.5,4735.5,2016-09-09 11:43:00,2016-09-09 11:43:00
2016-09-12,2016-09-12 10:00:00,4692.25,400.0,-400.0,WIN,LOSS,4717.25,4717.25,2016-09-12 11:00:00,2016-09-12 11:00:00
2016-09-13,2016-09-13 10:00:00,4726.5,-400.0,400.0,LOSS,WIN,4701.5,4701.5,2016-09-13 12:55:00,2016-09-13 12:55:00
2016-09-14,2016-09-14 10:00:00,4742.0,400.0,-400.0,WIN,LOSS,4767.0,4767.0,2016-09-14 10:35:00,2016-09-14 10:35:00
2016-09-15,2016-09-15 10:00:00,4760.0,400.0,-400.0,WIN,LOSS,4785.0,4785.0,2016-09-15 10:39:00,2016-09-15 10:39:00
2016-09-16,2016-09-16 10:00:00,4802.5,188.0,-188.0,TIME_EXIT,TIME_EXIT,4814.25,4814.25,2016-09-16 16:00:00,2016-09-16 16:00:00
2016-09-19,2016-09-19 10:00:00,4838.5,-400.0,400.0,LOSS,WIN,4813.5,4813.5,2016-09-19 10:57:00,2016-09-19 10:57:00
2016-09-20,2016-09-20 10:00:00,4816.0,-208.0,208.0,TIME_EXIT,TIME_EXIT,4803.0,4803.0,2016-09-20 16:00:00,2016-09-20 16:00:00
2016-09-21,2016-09-21 10:00:00,4825.5,-400.0,400.0,LOSS,WIN,4800.5,4800.5,2016-09-21 12:15:00,2016-09-21 12:15:00
2016-09-22,2016-09-22 10:00:00,4877.25,148.0,-148.0,TIME_EXIT,TIME_EXIT,4886.5,4886.5,2016-09-22 16:00:00,2016-09-22 16:00:00
2016-09-23,2016-09-23 10:00:00,4870.5,-204.0,204.0,TIME_EXIT,TIME_EXIT,4857.75,4857.75,2016-09-23 16:00:00,2016-09-23 16:00:00
2016-09-26,2016-09-26 10:00:00,4817.0,0.0,0.0,TIME_EXIT,TIME_EXIT,4817.0,4817.0,2016-09-26 16:00:00,2016-09-26 16:00:00
2016-09-27,2016-09-27 10:00:00,4840.0,364.0,-364.0,TIME_EXIT,TIME_EXIT,4862.75,4862.75,2016-09-27 16:00:00,2016-09-27 16:00:00
2016-09-28,2016-09-28 10:00:00,4864.75,88.0,-88.0,TIME_EXIT,TIME_EXIT,4870.25,4870.25,2016-09-28 16:00:00,2016-09-28 16:00:00
2016-09-29,2016-09-29 10:00:00,4866.5,-400.0,400.0,LOSS,WIN,4841.5,4841.5,2016-09-29 11:17:00,2016-09-29 11:17:00
2016-09-30,2016-09-30 10:00:00,4849.25,400.0,-400.0,WIN,LOSS,4874.25,4874.25,2016-09-30 11:29:00,2016-09-30 11:29:00
2016-10-03,2016-10-03 10:00:00,4849.75,264.0,-264.0,TIME_EXIT,TIME_EXIT,4866.25,4866.25,2016-10-03 16:00:00,2016-10-03 16:00:00
2016-10-04,2016-10-04 10:00:00,4885.5,-400.0,400.0,LOSS,WIN,4860.5,4860.5,2016-10-04 11:15:00,2016-10-04 11:15:00
2016-10-05,2016-10-05 10:00:00,4875.5,-28.0,28.0,TIME_EXIT,TIME_EXIT,4873.75,4873.75,2016-10-05 16:00:00,2016-10-05 16:00:00
2016-10-06,2016-10-06 10:00:00,4858.0,208.0,-208.0,TIME_EXIT,TIME_EXIT,4871.0,4871.0,2016-10-06 16:00:00,2016-10-06 16:00:00
2016-10-07,2016-10-07 10:00:00,4858.75,12.0,-12.0,TIME_EXIT,TIME_EXIT,4859.5,4859.5,2016-10-07 16:00:00,2016-10-07 16:00:00
2016-10-10,2016-10-10 10:00:00,4897.0,-128.0,128.0,TIME_EXIT,TIME_EXIT,4889.0,4889.0,2016-10-10 16:00:00,2016-10-10 16:00:00
2016-10-11,2016-10-11 10:00:00,4862.25,-400.0,400.0,LOSS,WIN,4837.25,4837.25,2016-10-11 11:02:00,2016-10-11 11:02:00
2016-10-12,2016-10-12 10:00:00,4815.75,-4.0,4.0,TIME_EXIT,TIME_EXIT,4815.5,4815.5,2016-10-12 16:00:00,2016-10-12 16:00:00
2016-10-13,2016-10-13 10:00:00,4761.5,400.0,-400.0,WIN,LOSS,4786.5,4786.5,2016-10-13 12:36:00,2016-10-13 12:36:00
2016-10-14,2016-10-14 10:00:00,4835.25,-400.0,400.0,LOSS,WIN,4810.25,4810.25,2016-10-14 11:48:00,2016-10-14 11:48:00
2016-10-17,2016-10-17 10:00:00,4786.0,108.0,-108.0,TIME_EXIT,TIME_EXIT,4792.75,4792.75,2016-10-17 16:00:00,2016-10-17 16:00:00
2016-10-18,2016-10-18 10:00:00,4841.5,-180.0,180.0,TIME_EXIT,TIME_EXIT,4830.25,4830.25,2016-10-18 16:00:00,2016-10-18 16:00:00
2016-10-19,2016-10-19 10:00:00,4829.25,32.0,-32.0,TIME_EXIT,TIME_EXIT,4831.25,4831.25,2016-10-19 16:00:00,2016-10-19 16:00:00
2016-10-20,2016-10-20 10:00:00,4824.75,-400.0,400.0,LOSS,WIN,4799.75,4799.75,2016-10-20 10:38:00,2016-10-20 10:38:00
2016-10-21,2016-10-21 10:00:00,4831.5,216.0,-216.0,TIME_EXIT,TIME_EXIT,4845.0,4845.0,2016-10-21 16:00:00,2016-10-21 16:00:00
2016-10-24,2016-10-24 10:00:00,4890.25,208.0,-208.0,TIME_EXIT,TIME_EXIT,4903.25,4903.25,2016-10-24 16:00:00,2016-10-24 16:00:00
2016-10-25,2016-10-25 10:00:00,4903.75,-316.0,316.0,TIME_EXIT,TIME_EXIT,4884.0,4884.0,2016-10-25 16:00:00,2016-10-25 16:00:00
2016-10-26,2016-10-26 10:00:00,4848.25,400.0,-400.0,WIN,LOSS,4873.25,4873.25,2016-10-26 10:59:00,2016-10-26 10:59:00
2016-10-27,2016-10-27 10:00:00,4870.75,-400.0,400.0,LOSS,WIN,4845.75,4845.75,2016-10-27 10:36:00,2016-10-27 10:36:00
2016-10-28,2016-10-28 10:00:00,4826.5,-400.0,400.0,LOSS,WIN,4801.5,4801.5,2016-10-28 13:36:00,2016-10-28 13:36:00
2016-10-31,2016-10-31 10:00:00,4805.0,-84.0,84.0,TIME_EXIT,TIME_EXIT,4799.75,4799.75,2016-10-31 16:00:00,2016-10-31 16:00:00
2016-11-01,2016-11-01 10:00:00,4793.75,-400.0,400.0,LOSS,WIN,4768.75,4768.75,2016-11-01 12:10:00,2016-11-01 12:10:00
2016-11-02,2016-11-02 10:00:00,4761.75,-400.0,400.0,LOSS,WIN,4736.75,4736.75,2016-11-02 13:03:00,2016-11-02 13:03:00
2016-11-03,2016-11-03 10:00:00,4709.0,-400.0,400.0,LOSS,WIN,4684.0,4684.0,2016-11-03 14:01:00,2016-11-03 14:01:00
2016-11-04,2016-11-04 10:00:00,4661.25,400.0,-400.0,WIN,LOSS,4686.25,4686.25,2016-11-04 10:38:00,2016-11-04 10:38:00
2016-11-07,2016-11-07 10:00:00,4737.5,400.0,-400.0,WIN,LOSS,4762.5,4762.5,2016-11-07 11:06:00,2016-11-07 11:06:00
2016-11-08,2016-11-08 10:00:00,4756.5,400.0,-400.0,WIN,LOSS,4781.5,4781.5,2016-11-08 11:14:00,2016-11-08 11:14:00
2016-11-09,2016-11-09 10:00:00,4790.0,-400.0,400.0,LOSS,WIN,4765.0,4765.0,2016-11-09 10:08:00,2016-11-09 10:08:00
2016-11-10,2016-11-10 10:00:00,4816.5,-400.0,400.0,LOSS,WIN,4791.5,4791.5,2016-11-10 10:08:00,2016-11-10 10:08:00
2016-11-11,2016-11-11 10:00:00,4709.5,400.0,-400.0,WIN,LOSS,4734.5,4734.5,2016-11-11 10:05:00,2016-11-11 10:05:00
2016-11-14,2016-11-14 10:00:00,4710.5,-400.0,400.0,LOSS,WIN,4685.5,4685.5,2016-11-14 11:00:00,2016-11-14 11:00:00
2016-11-15,2016-11-15 10:00:00,4752.5,400.0,-400.0,WIN,LOSS,4777.5,4777.5,2016-11-15 15:01:00,2016-11-15 15:01:00
2016-11-16,2016-11-16 10:00:00,4756.75,400.0,-400.0,WIN,LOSS,4781.75,4781.75,2016-11-16 10:33:00,2016-11-16 10:33:00
2016-11-17,2016-11-17 10:00:00,4798.0,400.0,-400.0,WIN,LOSS,4823.0,4823.0,2016-11-17 12:24:00,2016-11-17 12:24:00
2016-11-18,2016-11-18 10:00:00,4822.75,-280.0,280.0,TIME_EXIT,TIME_EXIT,4805.25,4805.25,2016-11-18 16:00:00,2016-11-18 16:00:00
2016-11-21,2016-11-21 10:00:00,4848.5,-400.0,400.0,LOSS,WIN,4823.5,4823.5,2016-11-21 10:27:00,2016-11-21 10:27:00
2016-11-22,2016-11-22 10:00:00,4875.0,-4.0,4.0,TIME_EXIT,TIME_EXIT,4874.75,4874.75,2016-11-22 16:00:00,2016-11-22 16:00:00
2016-11-23,2016-11-23 10:00:00,4842.25,152.0,-152.0,TIME_EXIT,TIME_EXIT,4851.75,4851.75,2016-11-23 16:00:00,2016-11-23 16:00:00
2016-11-28,2016-11-28 10:00:00,4868.75,-192.0,192.0,TIME_EXIT,TIME_EXIT,4856.75,4856.75,2016-11-28 16:00:00,2016-11-28 16:00:00
2016-11-29,2016-11-29 10:00:00,4853.75,400.0,-400.0,WIN,LOSS,4878.75,4878.75,2016-11-29 11:28:00,2016-11-29 11:28:00
2016-11-30,2016-11-30 10:00:00,4865.5,-400.0,400.0,LOSS,WIN,4840.5,4840.5,2016-11-30 10:24:00,2016-11-30 10:24:00
2016-12-01,2016-12-01 10:00:00,4785.0,-400.0,400.0,LOSS,WIN,4760.0,4760.0,2016-12-01 10:39:00,2016-12-01 10:39:00
2016-12-02,2016-12-02 10:00:00,4741.5,-36.0,36.0,TIME_EXIT,TIME_EXIT,4739.25,4739.25,2016-12-02 16:00:00,2016-12-02 16:00:00
2016-12-05,2016-12-05 10:00:00,4775.0,20.0,-20.0,TIME_EXIT,TIME_EXIT,4776.25,4776.25,2016-12-05 16:00:00,2016-12-05 16:00:00
2016-12-06,2016-12-06 10:00:00,4788.5,-4.0,4.0,TIME_EXIT,TIME_EXIT,4788.25,4788.25,2016-12-06 16:00:00,2016-12-06 16:00:00
2016-12-07,2016-12-07 10:00:00,4763.75,400.0,-400.0,WIN,LOSS,4788.75,4788.75,2016-12-07 10:44:00,2016-12-07 10:44:00
2016-12-08,2016-12-08 10:00:00,4853.5,92.0,-92.0,TIME_EXIT,TIME_EXIT,4859.25,4859.25,2016-12-08 16:00:00,2016-12-08 16:00:00
2016-12-09,2016-12-09 10:00:00,4891.0,4.0,-4.0,TIME_EXIT,TIME_EXIT,4891.25,4891.25,2016-12-09 16:00:00,2016-12-09 16:00:00
2016-12-12,2016-12-12 10:00:00,4878.75,-400.0,400.0,LOSS,WIN,4853.75,4853.75,2016-12-12 12:04:00,2016-12-12 12:04:00
2016-12-13,2016-12-13 10:00:00,4933.25,400.0,-400.0,WIN,LOSS,4958.25,4958.25,2016-12-13 11:59:00,2016-12-13 11:59:00
2016-12-14,2016-12-14 10:00:00,4947.5,-400.0,400.0,LOSS,WIN,4922.5,4922.5,2016-12-14 14:14:00,2016-12-14 14:14:00
2016-12-15,2016-12-15 10:00:00,4946.25,-400.0,400.0,LOSS,WIN,4921.25,4921.25,2016-12-15 13:56:00,2016-12-15 13:56:00
2016-12-16,2016-12-16 10:00:00,4942.0,-400.0,400.0,LOSS,WIN,4917.0,4917.0,2016-12-16 11:23:00,2016-12-16 11:23:00
