simulation,raw_total_pnl
1,30760.0
2,-39608.0
3,-4912.0
4,15432.0
5,-1072.0
6,16232.0
7,30792.0
8,-10472.0
9,13832.0
10,30784.0
11,-14416.0
12,-6440.0
13,30560.0
14,-12912.0
15,29808.0
16,-9760.0
17,19392.0
18,-15920.0
19,-14328.0
20,-2576.0
21,32328.0
22,-18496.0
23,-776.0
24,7496.0
25,528.0
26,-6632.0
27,704.0
28,-28472.0
29,38224.0
30,832.0
31,6104.0
32,34312.0
33,-28080.0
34,-18752.0
35,6536.0
36,18280.0
37,-14368.0
38,808.0
39,-33504.0
40,11648.0
41,-15448.0
42,23944.0
43,-5384.0
44,-13168.0
45,46672.0
46,-15200.0
47,5600.0
48,-18936.0
49,4464.0
50,-8288.0
51,-40552.0
52,-8744.0
53,-10144.0
54,26432.0
55,-29752.0
56,8264.0
57,-33768.0
58,-13736.0
59,-14048.0
60,-1280.0
61,7472.0
62,-520.0
63,1920.0
64,-8480.0
65,27056.0
66,-1304.0
67,38792.0
68,-26512.0
69,-13744.0
70,14304.0
71,-27992.0
72,17576.0
73,25016.0
74,23136.0
75,-16184.0
76,-41984.0
77,-2696.0
78,5400.0
79,25552.0
80,-15144.0
81,-15992.0
82,-9504.0
83,-19680.0
84,4128.0
85,8312.0
86,-10448.0
87,-1752.0
88,-2952.0
89,2952.0
90,-6696.0
91,-24888.0
92,7440.0
93,-18928.0
94,-1632.0
95,-21744.0
96,28872.0
97,-10264.0
98,34472.0
99,-1920.0
100,800.0
101,5792.0
102,-30392.0
103,26648.0
104,-9048.0
105,1040.0
106,-3608.0
107,-18256.0
108,9608.0
109,-3624.0
110,968.0
111,14104.0
112,38016.0
113,-656.0
114,19752.0
115,-20592.0
116,8552.0
117,-28184.0
118,9944.0
119,-1072.0
120,24816.0
121,-4632.0
122,-8112.0
123,-14296.0
124,-36912.0
125,-14576.0
126,5992.0
127,-27960.0
128,17560.0
129,-15472.0
130,27480.0
131,19496.0
132,-53296.0
133,-24960.0
134,-3408.0
135,-6800.0
136,12320.0
137,13416.0
138,-8936.0
139,27384.0
140,-17392.0
141,18256.0
142,-11328.0
143,-14584.0
144,-22624.0
145,-17448.0
146,5888.0
147,-25384.0
148,-5440.0
149,-8688.0
150,-21072.0
151,5384.0
152,-25928.0
153,-136.0
154,14912.0
155,-16816.0
156,4928.0
157,-4336.0
158,-25840.0
159,-8384.0
160,3464.0
161,27896.0
162,19264.0
163,20032.0
164,-336.0
165,-2536.0
166,-3536.0
167,41248.0
168,16000.0
169,23008.0
170,7840.0
171,26080.0
172,-21432.0
173,5056.0
174,11424.0
175,47760.0
176,-10472.0
177,42496.0
178,-3568.0
179,56736.0
180,-3608.0
181,32296.0
182,28816.0
183,16.0
184,-1968.0
185,5280.0
186,-13272.0
187,10912.0
188,14320.0
189,144.0
190,-26992.0
191,12896.0
192,-11224.0
193,23232.0
194,38184.0
195,28136.0
196,-15208.0
197,10736.0
198,-41184.0
199,22256.0
200,-17328.0
201,21088.0
202,17584.0
203,15360.0
204,20272.0
205,-10112.0
206,-25008.0
207,-29912.0
208,-23960.0
209,46488.0
210,9616.0
211,-18912.0
212,-12784.0
213,-18448.0
214,-25312.0
215,-7696.0
216,15424.0
217,-5080.0
218,-21544.0
219,-23136.0
220,3832.0
221,27600.0
222,3552.0
223,-27984.0
224,-30872.0
225,2456.0
226,-15768.0
227,-17160.0
228,23016.0
229,2928.0
230,27056.0
231,-3000.0
232,4992.0
233,-480.0
234,-13416.0
235,-17976.0
236,2640.0
237,17088.0
238,-13616.0
239,-13456.0
240,-12048.0
241,33536.0
242,13856.0
243,8824.0
244,-33216.0
245,17592.0
246,-5008.0
247,14664.0
248,1216.0
249,10848.0
250,1368.0
251,14936.0
252,-1008.0
253,-4600.0
254,5720.0
255,24024.0
256,-27944.0
257,28520.0
258,2928.0
259,34144.0
260,-64.0
261,-2384.0
262,-20368.0
263,-25144.0
264,-16344.0
265,18400.0
266,-7016.0
267,15872.0
268,-7904.0
269,34160.0
270,7472.0
271,9240.0
272,5480.0
273,-25352.0
274,-47936.0
275,-5304.0
276,20952.0
277,14920.0
278,-27336.0
279,8456.0
280,-27448.0
281,-30112.0
282,1920.0
283,3632.0
284,-11008.0
285,26544.0
286,-8040.0
287,-10392.0
288,7000.0
289,5672.0
290,-22280.0
291,-11032.0
292,-9608.0
293,1168.0
294,15576.0
295,-2240.0
296,-15776.0
297,34024.0
298,6808.0
299,7304.0
300,45392.0
301,5744.0
302,944.0
303,-6888.0
304,8248.0
305,-31440.0
306,-29712.0
307,53568.0
308,19304.0
309,-584.0
310,5992.0
311,8224.0
312,14656.0
313,-3200.0
314,-856.0
315,25584.0
316,-9408.0
317,9936.0
318,8896.0
319,23088.0
320,25536.0
321,-15488.0
322,9680.0
323,-48168.0
324,-26176.0
325,-33160.0
326,-32272.0
327,-1800.0
328,9064.0
329,-26728.0
330,4984.0
331,18976.0
332,-13472.0
333,-10848.0
334,2984.0
335,-38416.0
336,9776.0
337,1944.0
338,20280.0
339,22640.0
340,16672.0
341,-5792.0
342,16448.0
343,-20680.0
344,-8360.0
345,2512.0
346,13056.0
347,-44016.0
348,-3608.0
349,21688.0
350,-184.0
351,3328.0
352,18184.0
353,30240.0
354,-19496.0
355,-26016.0
356,-2824.0
357,10552.0
358,-15376.0
359,-17552.0
360,1440.0
361,256.0
362,-13360.0
363,3880.0
364,-40136.0
365,-7472.0
366,12272.0
367,-46120.0
368,9488.0
369,-14672.0
370,-36968.0
371,-3440.0
372,-2528.0
373,-13120.0
374,-8272.0
375,3208.0
376,7832.0
377,-15280.0
378,5736.0
379,5896.0
380,-16512.0
381,13344.0
382,-24056.0
383,-23584.0
384,30696.0
385,12296.0
386,34088.0
387,-13048.0
388,4768.0
389,-28376.0
390,20080.0
391,30352.0
392,10544.0
393,-5752.0
394,17768.0
395,-8144.0
396,23632.0
397,9392.0
398,25600.0
399,19896.0
400,-2384.0
401,3168.0
402,-30128.0
403,17504.0
404,-20504.0
405,-22288.0
406,-51248.0
407,-6552.0
408,15160.0
409,10592.0
410,-28208.0
411,-4208.0
412,-5136.0
413,10464.0
414,-49232.0
415,20920.0
416,18504.0
417,-4496.0
418,3288.0
419,-41656.0
420,21768.0
421,13016.0
422,18456.0
423,-424.0
424,-6992.0
425,-13816.0
426,-4904.0
427,-2560.0
428,-30656.0
429,1680.0
430,-23312.0
431,-15160.0
432,-24368.0
433,18648.0
434,-35472.0
435,23784.0
436,208.0
437,11624.0
438,13376.0
439,2544.0
440,-17144.0
441,-19808.0
442,-8944.0
443,17632.0
444,14792.0
445,-1136.0
446,25168.0
447,13032.0
448,49464.0
449,5088.0
450,-4928.0
451,-1320.0
452,-24408.0
453,10592.0
454,-24008.0
455,5424.0
456,-18448.0
457,-15696.0
458,-29656.0
459,18504.0
460,-21552.0
461,11704.0
462,4992.0
463,8200.0
464,-10376.0
465,-16272.0
466,5592.0
467,17072.0
468,43968.0
469,-18984.0
470,9664.0
471,9360.0
472,-13064.0
473,-3160.0
474,2584.0
475,-18128.0
476,-21344.0
477,9664.0
478,5400.0
479,21656.0
480,-33344.0
481,-4416.0
482,-26984.0
483,-11488.0
484,896.0
485,-14320.0
486,17680.0
487,-3576.0
488,13912.0
489,22512.0
490,-9256.0
491,9072.0
492,-16760.0
493,23512.0
494,5368.0
495,-49568.0
496,-30328.0
497,-8400.0
498,34976.0
499,-14856.0
500,-30672.0
501,6024.0
502,7248.0
503,-33888.0
504,-7480.0
505,23104.0
506,26440.0
507,13312.0
508,-6096.0
509,-15680.0
510,18392.0
511,-7016.0
512,-23064.0
513,23496.0
514,16712.0
515,15656.0
516,-12816.0
517,-6456.0
518,2952.0
519,25384.0
520,14384.0
521,2344.0
522,13496.0
523,-13944.0
524,-920.0
525,18064.0
526,5064.0
527,50512.0
528,13400.0
529,-35440.0
530,-26656.0
531,-6952.0
532,-688.0
533,-400.0
534,5624.0
535,6968.0
536,1840.0
537,14056.0
538,-3192.0
539,34504.0
540,12328.0
541,-10728.0
542,6184.0
543,2200.0
544,-3760.0
545,9136.0
546,-8416.0
547,2080.0
548,28304.0
549,-21880.0
550,-27584.0
551,-24720.0
552,15832.0
553,-10432.0
554,-27408.0
555,-32464.0
556,13936.0
557,42232.0
