simulation,trading_days,accounts_used,accounts_blown,combine_passes,xfa_failures,payouts,trader_payouts,account_costs,actual_net_pnl
1,2488,80,79,24,24,22,10491.075,6800.0,3691.0750000000007
2,2488,79,78,23,23,27,12468.6,6715.0,5753.6
3,2488,78,77,16,16,19,10224.900000000001,6630.0,3594.9000000000015
4,2488,83,82,19,19,17,7044.975,7055.0,-10.024999999999636
5,2488,73,72,13,13,11,5244.299999999999,6205.0,-960.7000000000007
6,2488,75,74,12,12,10,3349.8,6375.0,-3025.2
7,2488,84,83,17,16,24,13205.19375,7140.0,6065.19375
8,2488,71,70,20,20,20,11320.087500000001,6035.0,5285.0875000000015
9,2488,78,77,15,15,19,8950.95,6630.0,2320.9500000000007
10,2488,75,74,22,21,21,10115.55,6375.0,3740.5499999999993
11,2488,86,85,20,20,30,19543.95,7310.0,12233.95
12,2488,72,71,21,21,30,15302.925,6120.0,9182.925
13,2488,70,69,16,16,20,9872.55,5950.0,3922.5499999999993
14,2488,86,85,18,18,13,6477.3,7310.0,-832.6999999999998
15,2488,69,68,20,20,26,16735.577343750003,5865.0,10870.577343750003
16,2488,71,70,21,21,21,9594.900000000001,6035.0,3559.9000000000015
17,2488,70,69,16,16,27,18262.458984375,5950.0,12312.458984375
18,2488,76,75,17,17,17,5749.65,6460.0,-710.3500000000004
19,2488,68,67,13,13,20,11725.235156249999,5780.0,5945.235156249999
20,2488,89,88,18,18,9,2376.9,7565.0,-5188.1
21,2488,78,77,14,14,17,12192.75,6630.0,5562.75
22,2488,90,89,12,12,13,7065.0,7650.0,-585.0
23,2488,69,68,18,17,24,11106.675,5865.0,5241.674999999999
24,2488,76,75,11,11,10,4403.7,6460.0,-2056.3
25,2488,78,77,21,21,22,11549.250000000002,6630.0,4919.250000000002
26,2488,67,66,21,21,21,9025.2,5695.0,3330.2000000000007
27,2488,84,83,14,14,7,3130.2000000000003,7140.0,-4009.7999999999997
28,2488,71,70,19,19,17,9209.3625,6035.0,3174.3624999999993
29,2488,84,83,15,15,13,5242.5,7140.0,-1897.5
30,2488,78,77,21,21,17,5777.1,6630.0,-852.8999999999996
31,2488,75,74,15,15,15,5870.700000000001,6375.0,-504.2999999999993
32,2488,71,70,19,19,17,6797.25,6035.0,762.25
33,2488,92,91,13,13,12,4485.6,7820.0,-3334.3999999999996
34,2488,74,73,19,19,22,11458.8,6290.0,5168.799999999999
35,2488,71,70,23,22,24,14294.25,6035.0,8259.25
36,2488,78,77,17,16,12,6275.700000000001,6630.0,-354.2999999999993
37,2488,70,69,22,22,23,11091.9375,5950.0,5141.9375
38,2488,69,68,18,18,15,5955.3,5865.0,90.30000000000018
39,2488,79,78,22,22,26,12945.825,6715.0,6230.825000000001
40,2488,83,82,16,15,15,9272.7,7055.0,2217.7000000000007
41,2488,80,79,15,15,17,7479.9,6800.0,679.8999999999996
42,2488,78,77,19,18,20,11087.49375,6630.0,4457.49375
43,2488,69,68,17,17,21,12783.88125,5865.0,6918.88125
44,2488,71,70,15,15,26,15366.796875,6035.0,9331.796875
45,2488,82,81,18,18,16,9153.9,6970.0,2183.8999999999996
46,2488,91,90,18,18,21,12546.9,7735.0,4811.9
47,2488,68,67,23,23,24,13073.5125,5780.0,7293.512500000001
48,2488,74,73,18,18,26,15488.1,6290.0,9198.1
49,2488,76,75,17,17,19,8973.0,6460.0,2513.0
50,2488,87,86,17,17,16,8645.7375,7395.0,1250.7374999999993
51,2488,86,85,20,20,17,8084.475,7310.0,774.4750000000004
52,2488,72,71,20,20,14,6939.0,6120.0,819.0
53,2488,75,74,16,16,16,10805.175,6375.0,4430.174999999999
54,2488,90,89,14,14,16,8256.6,7650.0,606.6000000000004
55,2488,79,78,18,18,30,17470.98984375,6715.0,10755.989843750001
56,2488,78,77,16,16,13,5365.8,6630.0,-1264.1999999999998
57,2488,76,75,17,16,20,9631.4484375,6460.0,3171.4484374999993
58,2488,70,69,23,23,22,12378.375,5950.0,6428.375
59,2488,64,63,19,19,28,14380.875,5440.0,8940.875
60,2488,82,81,20,20,18,9251.04375,6970.0,2281.0437500000007
