simulation,actual_net_pnl,P&L Bin,Number of Simulations
1,22395.5675,"-30,000",177
2,-20748.32,"-20,000",861
3,11259.86,"-10,000",1837
4,17499.19,0,2082
5,-7405.62,"10,000",1914
6,47358.50313,"20,000",1350
7,13646.84,"30,000",873
8,11114.06875,"40,000",453
9,8142.16,"50,000",241
10,6356.7,"60,000",117
11,14087.215,"70,000",45
12,-13894.58,"80,000",24
13,23348.94375,"90,000",13
14,5637.115,"100,000",3
15,32119.455,"110,000",1
16,-5804.25,,
17,19408.95,,
18,-7077.08,,
19,-7574.29,,
20,14090.4275,,
21,8310.19,,
22,-17371.18,,
23,-20074.76,,
24,18677.48469,,
25,15640.53125,,
26,-4762.5,,
27,10859.5625,,
28,-3621.06,,
29,32153.865,,
30,-3371.99,,
31,-317.93,,
32,27531.04,,
33,4436.11,,
34,10622.8,,
35,35393.245,,
36,4840.7,,
37,-9769.975,,
38,-231.06,,
39,-9406.46,,
40,8293.6,,
41,-1876.41,,
42,47178.40875,,
43,-2738.11,,
44,10133.085,,
45,17496.34,,
46,-12139.64,,
47,13307.22,,
48,-2501.39,,
49,-15044.94,,
50,14689.5575,,
51,-18078.98,,
52,28679.04906,,
53,5463.89625,,
54,14459.58,,
55,-15510.7,,
56,46251.48375,,
57,-11871,,
58,17155.64,,
59,17969.9,,
60,15988.19,,
61,33431.36,,
62,16076.5,,
63,-14203.58,,
64,11190.8725,,
65,-243.69,,
66,-10728,,
67,69312.22031,,
68,-23091.74,,
69,30392.75,,
70,22873.345,,
71,1346.88,,
72,23026.4875,,
73,21923.95,,
74,14563.77,,
75,12455.535,,
76,-16583.36,,
77,26142.7475,,
78,1523.5,,
79,6778.63,,
80,-9522.36,,
81,-2577.225,,
82,-13195.82,,
83,523.21,,
84,-15548.3,,
85,17482.81,,
86,5134.675,,
87,3290.945,,
88,2650.6175,,
89,-13481.71,,
90,7493.5,,
91,-5428.39,,
92,34068.375,,
93,8150.6875,,
94,-7575.15,,
95,580.8375,,
96,13117.25,,
97,-15418.92,,
98,22635.75,,
99,19501.79281,,
100,8525.255,,
101,2289.89,,
102,-10614.41,,
103,27546.92125,,
104,-33377.04,,
105,12305.54,,
106,-11307.52,,
107,-12943.1,,
108,20111.53,,
109,-14234.56,,
110,10252.43,,
111,14448.655,,
112,50942.3275,,
113,7359.44,,
114,49560.0875,,
115,-1573.245,,
116,20901.735,,
117,-10584.02,,
118,-4014.52,,
119,20045.2425,,
120,30044.195,,
121,-2609.85,,
122,1842.56,,
123,-12952.25,,
124,-16670.075,,
125,7190.115,,
126,-1524.58,,
127,-8881.48,,
