simulation,trading_days,combine_subscriptions_purchased,monthly_rebills,paid_resets,reset_credits_earned,reset_credits_used,reset_credits_expired,reset_credits_remaining,combine_passes,xfa_accounts_earned,back2funded_reactivations,xfa_failures,accounts_blown,payouts,trader_payouts,account_costs,actual_net_pnl,active_parallel_accounts
1,1246,60,170,0,170,95,45,30,60,60,0,55,150,40,28374.097500000003,19550.0,8824.097500000003,5
2,1246,85,155,0,155,145,0,10,35,35,0,35,225,30,17539.2,20400.0,-2860.7999999999993,5
3,1246,75,150,0,150,135,5,10,55,55,0,55,205,30,19881.99,19125.0,756.9900000000007,5
4,1246,70,165,0,165,145,0,20,40,40,0,40,210,35,19964.700000000004,19975.0,-10.299999999997453,5
5,1246,55,175,0,175,125,30,20,40,40,0,40,175,20,10849.68,19550.0,-8700.32,5
6,1246,90,150,0,150,140,0,10,40,40,0,40,225,50,31404.15,20400.0,11004.15,5
7,1246,50,185,0,185,120,45,20,45,45,0,45,165,20,10185.12,19975.0,-9789.88,5
8,1246,30,200,0,200,155,45,0,15,15,0,15,180,45,36997.36875000001,19550.0,17447.368750000005,5
9,1246,70,170,0,170,115,30,25,60,60,0,60,180,50,29062.800000000007,20400.0,8662.800000000007,5
10,1246,65,150,0,150,145,5,0,55,55,0,55,205,35,18068.760000000006,18275.0,-206.2399999999957,5
11,1246,70,165,0,165,165,0,0,35,35,0,35,230,35,22697.190000000002,19975.0,2722.1900000000005,5
12,1246,65,175,0,175,150,0,25,50,50,0,50,210,30,17492.940000000002,20400.0,-2907.0599999999968,5
13,1246,40,185,0,185,135,40,10,35,35,0,35,170,60,43755.24375000001,19125.0,24630.24375000001,5
14,1246,50,180,0,180,130,35,15,30,30,0,30,175,35,23592.645000000004,19550.0,4042.6450000000023,5
15,1246,70,135,0,135,110,20,5,55,55,0,50,175,25,14622.480000000005,17425.0,-2802.519999999995,5
16,1246,75,150,0,150,130,10,10,40,40,0,40,200,20,9772.920000000002,19125.0,-9352.079999999998,5
17,1246,60,150,0,150,125,20,5,55,55,0,55,180,50,29188.980000000003,17850.0,11338.980000000001,5
18,1246,40,180,0,180,165,10,5,30,30,0,30,200,25,16122.87,18700.0,-2577.1299999999997,5
19,1246,40,185,0,185,170,0,15,30,30,0,30,205,10,5380.56,19125.0,-13744.439999999999,5
20,1246,110,140,0,140,130,0,10,35,35,0,35,235,25,13770.180000000004,21250.0,-7479.819999999995,5
21,1246,60,150,0,150,135,0,15,50,50,0,50,190,25,12268.440000000002,17850.0,-5581.559999999998,5
22,1246,45,170,0,170,145,25,0,40,40,0,35,185,15,8714.34,18275.0,-9560.66,5
23,1246,65,160,0,160,125,25,10,50,50,0,50,185,30,14651.280000000002,19125.0,-4473.719999999998,5
24,1246,80,155,0,155,155,0,0,45,45,0,45,230,25,12116.520000000002,19975.0,-7858.479999999998,5
25,1246,75,150,0,150,140,0,10,50,50,0,50,210,60,47145.61125,19125.0,28020.61125,5
26,1246,35,195,0,195,175,5,15,30,30,0,30,205,20,10046.160000000002,19550.0,-9503.839999999998,5
27,1246,60,165,0,165,145,20,0,30,30,0,30,200,30,23135.782500000005,19125.0,4010.782500000005,5
28,1246,70,165,0,165,135,20,10,35,35,0,35,200,20,14516.550000000003,19975.0,-5458.449999999998,5
29,1246,75,130,0,130,110,15,5,70,70,0,70,180,75,49944.285,17425.0,32519.285,5
30,1246,100,150,0,150,125,10,15,50,50,0,50,220,45,26834.130000000005,21250.0,5584.130000000005,5
31,1246,60,160,0,160,140,0,20,35,35,0,35,195,40,25557.93,18700.0,6857.930000000001,5
32,1246,70,155,0,155,95,20,40,45,45,0,45,160,40,24509.07,19125.0,5384.0700000000015,5
33,1246,100,155,0,155,155,0,0,30,30,0,30,250,20,14834.970000000001,21675.0,-6840.029999999999,5
34,1246,100,140,0,140,140,0,0,40,40,0,40,235,55,32754.78,20400.0,12354.78,5
35,1246,65,155,0,155,115,15,25,50,50,0,45,175,65,44083.71,18700.0,25383.71,5
36,1246,60,170,0,170,110,20,40,50,50,0,50,165,40,21309.660000000003,19550.0,1759.6600000000035,5
37,1246,60,180,0,180,160,15,5,35,35,0,35,215,20,10401.480000000001,20400.0,-9998.519999999999,5
38,1246,65,140,0,140,135,0,5,50,50,0,50,195,40,25439.400000000005,17425.0,8014.400000000005,5
39,1246,95,145,0,145,140,0,5,40,40,0,40,230,30,17706.420000000002,20400.0,-2693.5799999999995,5
40,1246,90,135,0,135,130,0,5,60,60,0,60,215,30,19104.39,19125.0,-20.609999999999218,5
41,1246,95,165,0,165,155,10,0,25,25,0,25,245,25,12518.64,22100.0,-9581.36,5
42,1246,60,170,0,170,150,5,15,50,50,0,45,205,45,30403.215,19550.0,10853.215,5
43,1246,45,170,0,170,165,5,0,25,25,0,25,205,20,13555.170000000002,18275.0,-4719.829999999997,5
44,1246,75,155,0,155,155,0,0,30,30,0,30,225,20,13642.470000000001,19550.0,-5907.529999999999,5
45,1246,110,125,0,125,110,15,0,70,70,0,70,215,40,24519.059999999998,19975.0,4544.0599999999995,5
46,1246,85,155,0,155,150,5,0,40,40,0,40,230,35,20303.280000000002,20400.0,-96.71999999999798,5
47,1246,60,160,0,160,130,10,20,45,45,0,45,185,45,26676.090000000004,18700.0,7976.090000000004,5
48,1246,45,170,0,170,150,0,20,25,25,0,25,190,25,15759.450000000004,18275.0,-2515.549999999996,5
49,1246,75,170,0,170,115,35,20,60,60,0,55,185,20,10654.920000000002,20825.0,-10170.079999999998,5
50,1246,65,165,0,165,160,0,5,30,30,0,30,220,15,7981.56,19550.0,-11568.44,5
51,1246,120,135,0,135,135,0,0,30,30,0,30,250,15,9009.720000000001,21675.0,-12665.279999999999,5
52,1246,110,155,0,155,140,0,15,35,35,0,35,245,25,13420.980000000001,22525.0,-9104.019999999999,5
53,1246,55,160,0,160,145,5,10,35,35,0,35,195,45,35155.136249999996,18275.0,16880.136249999996,5
54,1246,85,170,0,170,110,30,30,65,65,0,60,190,50,28920.780000000006,21675.0,7245.780000000004,5
55,1246,90,150,0,150,150,0,0,45,45,0,45,235,30,16397.100000000002,20400.0,-4002.8999999999974,5
56,1246,125,130,0,130,130,0,0,45,45,0,45,250,60,42839.707500000004,21675.0,21164.707500000004,5
57,1246,75,160,0,160,150,5,5,40,40,0,40,220,30,16309.259999999998,19975.0,-3665.7400000000007,5
58,1246,75,170,0,170,165,0,5,30,30,0,30,235,20,12336.12,20825.0,-8488.88,5
59,1246,75,165,0,165,165,0,0,20,20,0,20,235,25,18293.625,20400.0,-2106.374999999998,5
60,1246,65,165,0,165,130,20,15,40,40,0,35,190,35,20955.420000000006,19550.0,1405.4200000000037,5
61,1246,90,150,0,150,145,0,5,40,40,0,40,230,40,23383.440000000002,20400.0,2983.4400000000005,5
62,1246,40,185,0,185,135,20,30,35,35,0,35,170,20,11376.900000000001,19125.0,-7748.099999999999,5
63,1246,45,210,0,210,125,55,30,40,40,0,40,165,25,12907.080000000002,21675.0,-8767.919999999998,5
64,1246,25,205,0,205,175,15,15,20,20,0,20,195,5,3001.32,19550.0,-16548.68,5
65,1246,40,190,0,190,120,35,35,35,35,0,35,155,45,29052.63000000001,19550.0,9502.630000000008,5
66,1246,40,185,0,185,135,40,10,35,35,0,35,170,10,4825.08,19125.0,-14299.92,5
67,1246,55,175,0,175,115,25,35,40,40,0,40,165,65,46904.16375000001,19550.0,27354.163750000007,5
68,1246,50,170,0,170,155,0,15,40,40,0,40,200,5,2414.5200000000004,18700.0,-16285.48,5
69,1246,115,135,0,135,130,0,5,45,45,0,45,240,40,26009.37000000001,21250.0,4759.370000000008,5
70,1246,85,155,0,155,115,20,20,50,50,0,50,195,45,27107.82,20400.0,6707.8200000000015,5
71,1246,40,200,0,200,175,0,25,25,25,0,25,210,15,8714.34,20400.0,-11685.66,5
72,1246,60,180,0,180,135,15,30,55,55,0,55,190,45,25838.640000000007,20400.0,5438.640000000005,5
73,1246,75,150,0,150,125,10,15,55,55,0,55,195,45,29515.41000000001,19125.0,10390.41000000001,5
74,1246,70,155,0,155,130,10,15,55,55,0,55,195,35,22651.83,19125.0,3526.83,5
75,1246,90,160,0,160,145,0,15,25,25,0,25,230,20,9928.440000000002,21250.0,-11321.56,5
