simulation,trading_days,combine_subscriptions_purchased,monthly_rebills,paid_resets,reset_credits_earned,reset_credits_used,reset_credits_expired,reset_credits_remaining,combine_passes,xfa_accounts_earned,back2funded_reactivations,xfa_failures,accounts_blown,payouts,trader_payouts,account_costs,actual_net_pnl,active_parallel_accounts
1,2485,175,300,0,300,225,60,15,120,120,0,115,395,100,62770.56750000002,40375.0,22395.567500000016,5
2,2485,235,280,0,280,280,0,0,70,70,0,70,510,40,23026.68,43775.0,-20748.32,5
3,2485,195,265,0,265,260,5,0,105,105,0,105,450,85,50359.859999999986,39100.0,11259.85999999999,5
4,2485,130,310,0,310,295,10,5,90,90,0,90,420,90,54899.19000000002,37400.0,17499.190000000017,5
5,2485,180,285,0,285,255,30,0,100,100,0,100,430,60,32119.380000000005,39525.0,-7405.619999999994,5
6,2485,165,290,0,290,285,0,5,95,95,0,90,445,125,86033.50312500002,38675.0,47358.503125000025,5
7,2485,140,320,0,320,240,55,25,105,105,0,105,375,90,52746.84000000001,39100.0,13646.840000000011,5
8,2485,165,335,0,335,290,45,0,55,55,0,55,450,75,53614.068750000006,42500.0,11114.068750000006,5
9,2485,190,295,0,295,255,30,10,105,105,0,105,440,85,49367.16000000001,41225.0,8142.160000000013,5
10,2485,145,305,0,305,270,15,20,125,125,0,125,410,80,44606.70000000001,38250.0,6356.70000000001,5
11,2485,120,350,0,350,320,25,5,65,65,0,65,435,80,54037.215,39950.0,14087.214999999997,5
12,2485,135,320,0,320,305,0,15,100,100,0,95,435,45,24780.420000000006,38675.0,-13894.579999999996,5
13,2485,155,310,0,310,235,75,0,105,105,0,105,385,95,62873.94375000002,39525.0,23348.943750000017,5
14,2485,165,305,0,305,265,35,5,75,75,0,75,425,70,45587.115000000005,39950.0,5637.115000000003,5
15,2485,150,270,0,270,220,25,25,105,105,0,105,365,100,67819.45500000003,35700.0,32119.455000000024,5
16,2485,175,290,0,290,280,10,0,90,90,0,90,450,60,33720.75,39525.0,-5804.249999999997,5
17,2485,155,295,0,295,245,20,30,100,100,0,100,395,95,57658.95000000001,38250.0,19408.95000000001,5
18,2485,110,345,0,345,330,10,5,65,65,0,65,435,50,31597.92,38675.0,-7077.080000000001,5
19,2485,90,355,0,355,350,0,5,80,80,0,80,435,50,30250.710000000006,37825.0,-7574.289999999992,5
20,2485,160,300,0,300,290,0,10,80,80,0,75,445,85,53190.427500000005,39100.0,14090.427500000005,5
21,2485,130,310,0,310,280,10,20,120,120,0,120,405,80,45710.19,37400.0,8310.190000000002,5
22,2485,170,305,0,305,275,25,5,90,90,0,90,440,40,23003.82,40375.0,-17371.18,5
23,2485,155,315,0,315,275,25,15,85,85,0,85,425,40,19875.240000000005,39950.0,-20074.759999999995,5
24,2485,180,295,0,295,270,0,25,90,90,0,90,445,85,59052.48468750001,40375.0,18677.484687500008,5
25,2485,155,305,0,305,285,0,20,100,100,0,100,435,75,54740.53125,39100.0,15640.531250000004,5
26,2485,115,350,0,350,325,5,20,60,60,0,55,435,55,34762.50000000001,39525.0,-4762.499999999995,5
27,2485,140,320,0,320,280,20,20,90,90,0,90,415,75,49959.562500000015,39100.0,10859.562500000011,5
28,2485,200,295,0,295,265,20,10,85,85,0,85,460,60,38453.94000000001,42075.0,-3621.059999999993,5
29,2485,165,270,0,270,245,15,10,125,125,0,125,405,110,69128.865,36975.0,32153.865000000005,5
30,2485,210,275,0,275,265,10,0,100,100,0,100,470,65,37853.01,41225.0,-3371.989999999996,5
31,2485,115,325,0,325,300,0,25,85,85,0,85,410,60,37082.07,37400.0,-317.9300000000012,5
32,2485,125,315,0,315,230,70,15,105,105,0,100,350,105,64931.04000000001,37400.0,27531.04000000001,5
33,2485,210,305,0,305,290,0,15,65,65,0,65,495,70,48211.11,43775.0,4436.109999999999,5
34,2485,260,255,0,255,255,0,0,90,90,0,85,510,95,54397.8,43775.0,10622.800000000007,5
35,2485,165,290,0,290,275,15,0,85,85,0,85,435,110,74068.24500000002,38675.0,35393.245000000024,5
36,2485,140,320,0,320,260,45,15,100,100,0,100,395,80,43940.700000000004,39100.0,4840.700000000006,5
37,2485,175,315,0,315,270,15,30,95,95,0,90,440,50,31880.025,41650.0,-9769.974999999999,5
38,2485,140,295,0,295,285,10,0,100,100,0,100,420,60,36743.94000000001,36975.0,-231.05999999999312,5
39,2485,220,280,0,280,280,0,0,85,85,0,85,495,55,33093.54,42500.0,-9406.459999999997,5
40,2485,210,260,0,260,260,0,0,115,115,0,115,465,80,48243.6,39950.0,8293.599999999997,5
41,2485,190,305,0,305,290,10,5,75,75,0,70,475,70,40198.59000000001,42075.0,-1876.4099999999917,5
42,2485,120,315,0,315,285,5,25,105,105,0,100,400,120,84153.40875,36975.0,47178.40875,5
43,2485,135,325,0,325,295,20,10,85,85,0,85,425,60,36361.89,39100.0,-2738.109999999997,5
44,2485,175,290,0,290,280,0,10,75,75,0,75,450,75,49658.085,39525.0,10133.085000000001,5
45,2485,200,255,0,255,220,15,20,145,145,0,145,415,100,56171.340000000026,38675.0,17496.340000000026,5
46,2485,160,310,0,310,295,10,5,80,80,0,80,450,50,27810.36,39950.0,-12139.64,5
47,2485,125,325,0,325,280,20,25,80,80,0,80,400,85,51557.22000000001,38250.0,13307.220000000007,5
48,2485,140,315,0,315,305,0,10,70,70,0,70,440,60,36173.61,38675.0,-2501.3900000000012,5
49,2485,185,310,0,310,260,40,10,125,125,0,125,440,50,27030.060000000005,42075.0,-15044.939999999997,5
50,2485,175,285,0,285,275,0,10,95,95,0,95,445,80,53789.5575,39100.0,14689.5575,5
51,2485,205,280,0,280,280,0,0,65,65,0,65,480,40,23146.019999999997,41225.0,-18078.980000000003,5
52,2485,180,305,0,305,290,5,10,80,80,0,80,465,100,69904.0490625,41225.0,28679.0490625,5
53,2485,150,315,0,315,305,5,5,60,60,0,60,450,65,44988.896250000005,39525.0,5463.896250000007,5
54,2485,200,295,0,295,255,40,0,120,120,0,120,450,100,56534.58000000002,42075.0,14459.580000000024,5
55,2485,225,295,0,295,270,0,25,95,95,0,95,490,55,28689.300000000007,44200.0,-15510.699999999993,5
56,2485,225,270,0,270,235,0,35,100,100,0,100,455,125,88326.48375000001,42075.0,46251.48375000001,5
57,2485,180,315,0,315,305,5,5,65,65,0,65,480,55,30204.0,42075.0,-11871.0,5
58,2485,195,295,0,295,295,0,0,85,85,0,85,485,95,58805.64,41650.0,17155.640000000003,5
59,2485,130,330,0,330,310,10,10,70,70,0,65,435,80,57069.90000000001,39100.0,17969.90000000001,5
60,2485,150,310,0,310,275,20,15,85,85,0,85,420,90,55088.19,39100.0,15988.190000000004,5
61,2485,165,295,0,295,290,0,5,95,95,0,95,450,115,72531.36,39100.0,33431.36,5
62,2485,135,320,0,320,300,20,0,70,70,0,70,430,85,54751.50000000001,38675.0,16076.500000000005,5
63,2485,90,395,0,395,330,65,0,85,85,0,85,415,50,27021.420000000002,41225.0,-14203.579999999998,5
64,2485,110,345,0,345,310,15,20,70,70,0,70,415,75,49865.8725,38675.0,11190.872499999996,5
65,2485,85,380,0,380,250,95,35,80,80,0,80,330,65,39281.31000000001,39525.0,-243.68999999998778,5
66,2485,140,310,0,310,250,40,20,85,85,0,85,385,50,27522.0,38250.0,-10728.000000000002,5
67,2485,110,340,0,340,245,80,15,95,95,0,95,350,145,107562.22031250005,38250.0,69312.22031250005,5
68,2485,150,320,0,320,315,0,5,90,90,0,90,460,30,16858.260000000002,39950.0,-23091.739999999998,5
69,2485,235,255,0,255,245,0,10,90,90,0,90,475,100,72042.75000000001,41650.0,30392.750000000015,5
70,2485,160,295,0,295,260,20,15,105,105,0,105,415,100,61548.34500000001,38675.0,22873.34500000001,5
71,2485,125,340,0,340,335,0,5,75,75,0,70,455,65,40871.880000000005,39525.0,1346.8800000000056,5
72,2485,155,315,0,315,280,20,15,120,120,0,120,430,100,62976.4875,39950.0,23026.487500000003,5
73,2485,150,290,0,290,275,10,5,110,110,0,110,420,90,59323.95000000001,37400.0,21923.95000000001,5
74,2485,120,315,0,315,285,10,20,95,95,0,95,400,85,51538.77000000001,36975.0,14563.770000000013,5
75,2485,240,270,0,270,270,0,0,75,75,0,70,505,90,55805.535000000025,43350.0,12455.535000000027,5
76,2485,270,260,0,260,255,0,5,75,75,0,75,520,50,28466.640000000007,45050.0,-16583.359999999993,5
77,2485,215,275,0,275,245,0,30,90,90,0,90,455,100,67792.7475,41650.0,26142.747500000005,5
78,2485,135,320,0,320,285,20,15,95,95,0,90,415,75,40198.5,38675.0,1523.499999999999,5
79,2485,110,315,0,315,250,50,15,105,105,0,105,355,70,42903.630000000005,36125.0,6778.630000000003,5
80,2485,160,335,0,335,310,15,10,65,65,0,65,465,55,32552.64,42075.0,-9522.359999999999,5
81,2485,150,330,0,330,275,55,0,70,70,0,70,420,60,38222.775,40800.0,-2577.2249999999985,5
82,2485,215,285,0,285,260,0,25,95,95,0,95,470,55,29304.18,42500.0,-13195.82,5
83,2485,175,310,0,310,290,5,15,90,90,0,90,460,70,41748.21,41225.0,523.2099999999991,5
84,2485,150,320,0,320,275,20,25,115,115,0,110,420,45,24401.699999999997,39950.0,-15548.300000000003,5
85,2485,195,290,0,290,245,25,20,100,100,0,100,435,95,58707.81000000001,41225.0,17482.81000000001,5
86,2485,185,300,0,300,270,10,20,90,90,0,85,450,75,46359.67500000002,41225.0,5134.675000000016,5
87,2485,155,305,0,305,280,5,20,100,100,0,100,430,70,42390.94500000001,39100.0,3290.9450000000106,5
88,2485,175,285,0,285,265,0,20,80,80,0,80,435,65,41750.61750000001,39100.0,2650.6175000000076,5
89,2485,115,330,0,330,275,30,25,85,85,0,85,385,40,24343.29,37825.0,-13481.71,5
90,2485,190,280,0,280,270,10,0,100,100,0,100,455,80,47443.500000000015,39950.0,7493.500000000013,5
91,2485,210,295,0,295,280,5,10,70,70,0,70,485,60,37496.61,42925.0,-5428.389999999999,5
92,2485,185,310,0,310,260,20,30,90,90,0,90,440,115,76143.375,42075.0,34068.37500000001,5
93,2485,170,315,0,315,300,0,15,75,75,0,70,465,75,49375.6875,41225.0,8150.687500000004,5
94,2485,145,290,0,290,260,30,0,85,85,0,85,400,50,29399.850000000006,36975.0,-7575.149999999994,5
95,2485,215,280,0,280,275,0,5,85,85,0,85,485,65,42655.83750000001,42075.0,580.8375000000069,5
96,2485,110,335,0,335,250,60,25,100,100,0,100,355,85,50942.25,37825.0,13117.250000000004,5
97,2485,160,320,0,320,315,0,5,95,95,0,90,470,50,25381.08,40800.0,-15418.919999999998,5
98,2485,135,285,0,285,240,20,25,105,105,0,105,370,95,58335.75000000001,35700.0,22635.750000000007,5
99,2485,195,265,0,265,260,0,5,105,105,0,105,450,85,58601.79281250002,39100.0,19501.792812500018,5
100,2485,160,300,0,300,290,0,10,95,95,0,95,445,75,47625.255000000005,39100.0,8525.255000000006,5
101,2485,105,340,0,340,310,15,15,70,70,0,70,410,65,40114.89,37825.0,2289.8900000000003,5
102,2485,155,315,0,315,305,0,10,65,65,0,65,455,45,29335.590000000007,39950.0,-10614.409999999993,5
103,2485,130,325,0,325,265,40,20,115,115,0,115,390,95,66221.92125,38675.0,27546.921249999996,5
104,2485,115,335,0,335,270,60,5,90,90,0,90,380,10,4872.960000000001,38250.0,-33377.03999999999,5
105,2485,210,280,0,280,260,5,15,115,115,0,115,465,95,53955.54000000001,41650.0,12305.54000000001,5
106,2485,75,355,0,355,325,10,20,65,65,0,65,395,45,25242.48,36550.0,-11307.52,5
107,2485,190,310,0,310,310,0,0,100,100,0,100,495,55,29556.900000000005,42500.0,-12943.099999999995,5
108,2485,220,265,0,265,250,0,15,115,115,0,110,465,100,61336.53000000001,41225.0,20111.530000000013,5
109,2485,85,360,0,360,325,20,15,75,75,0,75,405,45,23590.44,37825.0,-14234.560000000001,5
110,2485,195,280,0,280,235,20,25,85,85,0,85,425,80,50627.43000000001,40375.0,10252.430000000004,5
111,2485,120,305,0,305,280,0,25,75,75,0,75,395,80,50573.655000000006,36125.0,14448.655000000008,5
112,2485,135,290,0,290,275,10,5,110,110,0,110,405,135,87067.32749999998,36125.0,50942.32749999999,5
113,2485,190,270,0,270,260,0,10,100,100,0,100,445,80,46459.44,39100.0,7359.440000000004,5
114,2485,265,255,0,255,205,25,25,105,105,0,105,465,140,93760.0875,44200.0,49560.087499999994,5
115,2485,215,280,0,280,275,0,5,75,75,0,75,485,65,40501.75500000001,42075.0,-1573.244999999988,5
116,2485,165,285,0,285,265,15,5,100,100,0,95,425,90,59151.735000000015,38250.0,20901.735000000015,5
117,2485,265,235,0,235,235,0,0,85,85,0,85,495,55,31915.980000000003,42500.0,-10584.019999999997,5
118,2485,110,335,0,335,295,10,30,80,80,0,80,400,65,33810.479999999996,37825.0,-4014.5200000000023,5
119,2485,200,280,0,280,270,0,10,100,100,0,100,465,95,60845.242500000015,40800.0,20045.242500000015,5
120,2485,135,295,0,295,235,55,5,105,105,0,105,365,100,66594.19500000002,36550.0,30044.195000000018,5
121,2485,175,305,0,305,290,0,15,95,95,0,95,460,65,38190.15,40800.0,-2609.8500000000013,5
122,2485,190,285,0,285,250,0,35,65,65,0,65,435,70,42217.560000000005,40375.0,1842.5600000000031,5
123,2485,160,310,0,310,305,5,0,90,90,0,90,460,45,26997.75,39950.0,-12952.25,5
124,2485,235,295,0,295,260,15,20,75,75,0,75,490,45,28379.925000000003,45050.0,-16670.074999999997,5
125,2485,135,300,0,300,300,0,0,75,75,0,75,430,70,44165.115,36975.0,7190.114999999996,5
126,2485,110,335,0,335,305,30,0,95,95,0,95,410,55,36300.420000000006,37825.0,-1524.5799999999963,5
127,2485,230,290,0,290,280,0,10,95,95,0,95,505,65,35318.520000000004,44200.0,-8881.479999999996,5
128,2485,165,320,0,320,260,45,15,100,100,0,100,420,100,62361.02250000001,41225.0,21136.022500000006,5
129,2485,160,315,0,315,315,0,0,70,70,0,70,470,55,34951.54500000001,40375.0,-5423.45499999999,5
130,2485,125,340,0,340,235,70,35,115,115,0,115,355,90,60880.3425,39525.0,21355.3425,5
131,2485,170,295,0,295,255,5,35,100,100,0,100,420,95,67758.48000000001,39525.0,28233.48000000001,5
132,2485,200,315,0,315,310,5,0,45,45,0,45,505,20,9777.960000000001,43775.0,-33997.03999999999,5
133,2485,170,320,0,320,320,0,0,70,70,0,70,485,60,38556.54000000001,41650.0,-3093.4599999999955,5
134,2485,140,300,0,300,285,15,0,100,100,0,95,420,40,23660.280000000006,37400.0,-13739.719999999994,5
135,2485,190,290,0,290,265,5,20,95,95,0,95,450,80,48952.89000000001,40800.0,8152.890000000007,5
136,2485,135,310,0,310,285,15,10,105,105,0,105,415,90,53690.850000000006,37825.0,15865.85000000001,5
137,2485,145,310,0,310,260,40,10,110,110,0,110,400,60,35372.115000000005,38675.0,-3302.8849999999966,5
138,2485,160,335,0,335,295,35,5,90,90,0,90,450,60,31491.539999999994,42075.0,-10583.460000000005,5
139,2485,125,300,0,300,295,0,5,110,110,0,105,415,135,93566.85468750003,36125.0,57441.85468750003,5
140,2485,100,345,0,345,325,15,5,45,45,0,40,420,70,50969.947499999995,37825.0,13144.947499999998,5
141,2485,165,290,0,290,270,10,10,95,95,0,95,430,85,52696.53000000001,38675.0,14021.530000000012,5
142,2485,205,285,0,285,260,20,5,85,85,0,85,460,75,46489.59000000001,41650.0,4839.590000000007,5
143,2485,155,320,0,320,300,10,10,100,100,0,100,450,50,24883.2,40375.0,-15491.8,5
144,2485,210,285,0,285,270,0,15,95,95,0,95,475,40,21627.18,42075.0,-20447.82,5
145,2485,190,295,0,295,260,5,30,80,80,0,80,445,40,21476.340000000004,41225.0,-19748.659999999996,5
146,2485,115,310,0,310,285,5,20,100,100,0,100,395,55,31900.500000000007,36125.0,-4224.499999999994,5
147,2485,250,285,0,285,265,10,10,85,85,0,85,510,55,33852.240000000005,45475.0,-11622.759999999998,5
148,2485,180,300,0,300,275,20,5,95,95,0,90,450,60,38029.86000000001,40800.0,-2770.139999999992,5
149,2485,155,290,0,290,280,0,10,75,75,0,75,430,75,49441.71375000001,37825.0,11616.713750000008,5
150,2485,150,330,0,330,290,5,35,65,65,0,65,435,55,31235.58,40800.0,-9564.42,5
151,2485,185,310,0,310,255,35,20,105,105,0,105,435,85,49841.73000000002,42075.0,7766.730000000016,5
152,2485,145,315,0,315,300,5,10,70,70,0,70,440,40,22410.9,39100.0,-16689.1,5
153,2485,205,295,0,295,250,15,30,95,95,0,95,450,120,77385.78000000003,42500.0,34885.78000000002,5
154,2485,105,320,0,320,315,0,5,90,90,0,90,415,95,66332.50875000001,36125.0,30207.508750000015,5
155,2485,150,285,0,285,285,0,0,85,85,0,85,430,40,22762.800000000003,36975.0,-14212.199999999997,5
156,2485,175,285,0,285,270,10,5,80,80,0,80,440,105,67186.035,39100.0,28086.035000000003,5
157,2485,155,305,0,305,300,0,5,85,85,0,85,450,90,58530.66750000002,39100.0,19430.667500000018,5
158,2485,150,310,0,310,305,0,5,60,60,0,60,450,45,25362.629999999997,39100.0,-13737.37,5
159,2485,115,330,0,330,305,20,5,90,90,0,90,415,45,25089.480000000003,37825.0,-12735.519999999997,5
160,2485,190,285,0,285,250,30,5,90,90,0,90,435,80,48515.895000000004,40375.0,8140.895,5
161,2485,130,340,0,340,280,30,30,100,100,0,100,405,85,47948.04000000001,39950.0,7998.04000000001,5
162,2485,105,320,0,320,270,40,10,85,85,0,85,370,120,84440.26687500002,36125.0,48315.266875000016,5
163,2485,200,270,0,270,255,5,10,125,125,0,125,450,115,70334.055,39950.0,30384.05499999999,5
164,2485,160,325,0,325,290,35,0,90,90,0,90,445,105,72721.755,41225.0,31496.755000000005,5
165,2485,170,295,0,295,295,0,0,90,90,0,90,460,50,26836.020000000004,39525.0,-12688.979999999996,5
166,2485,130,320,0,320,275,15,30,60,60,0,60,400,40,23695.29,38250.0,-14554.71,5
167,2485,145,265,0,265,255,10,0,125,125,0,125,395,105,70257.03750000002,34850.0,35407.03750000001,5
168,2485,115,325,0,325,270,25,30,100,100,0,95,380,85,53563.95000000001,37400.0,16163.950000000013,5
169,2485,165,310,0,310,275,5,30,95,95,0,90,435,115,73373.31000000001,40375.0,32998.31000000001,5
170,2485,165,295,0,295,270,0,25,95,95,0,95,430,100,65256.16500000002,39100.0,26156.16500000002,5
171,2485,130,295,0,295,275,20,0,105,105,0,105,400,130,94294.39781250001,36125.0,58169.397812500014,5
172,2485,170,300,0,300,290,5,5,90,90,0,90,455,25,12109.32,39950.0,-27840.68,5
173,2485,185,295,0,295,270,10,15,100,100,0,100,450,90,56866.814999999995,40800.0,16066.814999999997,5
174,2485,170,285,0,285,230,45,10,90,90,0,85,395,115,81949.41562499998,38675.0,43274.41562499998,5
175,2485,140,305,0,305,260,35,10,110,110,0,110,395,125,82403.03250000003,37825.0,44578.03250000003,5
176,2485,155,315,0,315,300,0,15,80,80,0,80,450,60,36196.65,39950.0,-3753.3500000000004,5
177,2485,120,315,0,315,275,35,5,105,105,0,105,390,145,99454.42125000003,36975.0,62479.42125000003,5
178,2485,140,310,0,310,285,15,10,70,70,0,65,420,110,86043.42000000001,38250.0,47793.420000000006,5
179,2485,130,295,0,295,245,40,10,105,105,0,105,370,165,114015.34687500002,36125.0,77890.34687500002,5
180,2485,240,265,0,265,235,10,20,110,110,0,110,470,75,49486.623750000006,42925.0,6561.623750000008,5
181,2485,130,325,0,325,265,35,25,115,115,0,115,390,85,50043.869999999995,38675.0,11368.869999999997,5
182,2485,155,300,0,300,255,40,5,115,115,0,115,405,140,97884.60750000001,38675.0,59209.60750000002,5
183,2485,130,315,0,315,285,20,10,90,90,0,90,410,80,50554.305000000015,37825.0,12729.305000000013,5
184,2485,215,275,0,275,240,25,10,105,105,0,105,450,55,32355.180000000008,41650.0,-9294.81999999999,5
185,2485,120,320,0,320,280,20,20,85,85,0,85,395,45,23706.180000000004,37400.0,-13693.819999999996,5
186,2485,130,320,0,320,320,0,0,65,65,0,65,445,65,41145.84000000001,38250.0,2895.8400000000074,5
187,2485,95,355,0,355,285,35,35,70,70,0,70,375,50,24540.840000000004,38250.0,-13709.159999999996,5
188,2485,135,325,0,325,290,30,5,100,100,0,95,420,120,73896.52500000002,39100.0,34796.52500000003,5
189,2485,120,350,0,350,300,30,20,65,65,0,65,415,85,57477.712499999994,39950.0,17527.712499999998,5
190,2485,245,275,0,275,255,0,20,75,75,0,75,495,80,53010.58500000002,44200.0,8810.58500000002,5
